Gene names  (ordered locus )	Entry	DNA binding	Metal binding	Nucleotide binding	Site	Cross-link	Disulfide bond	Glycosylation	Lipidation	Modified residue	Peptide	Propeptide	Signal peptide	Transit peptide	Coiled coil	Domain [CC]	Domain [FT]	Motif	Region	Zinc finger
YJR144W	P32787													"TRANSIT 1..30;  /note=""Mitochondrion"";  /evidence=""ECO:0000255"""						
YGL172W	Q02199															"DOMAIN: Contains FG repeats. FG repeats are interaction sites for karyopherins (importins, exportins) and form probably an affinity gradient, guiding the transport proteins unidirectionally with their cargo through the NPC. FG repeat regions are highly flexible and lack ordered secondary structure. The overall conservation of FG repeats regarding exact sequence, spacing, and repeat unit length is limited. FG repeat types and their physico-chemical environment change across the NPC from the nucleoplasmic to the cytoplasmic side: GLFG repeats are especially abundant in NUPs in the central region (lacking a charged environment but are enriched in Ser, Thr, Gln, and Asn)."			"REGION 28..104;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 211..242;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGR119C	P48837														"COILED 398..425;  /evidence=""ECO:0000255"""	"DOMAIN: Contains FG repeats. FG repeats are interaction sites for karyopherins (importins, exportins) and form probably an affinity gradient, guiding the transport proteins unidirectionally with their cargo through the NPC. FG repeat regions are highly flexible and lack ordered secondary structure. The overall conservation of FG repeats regarding exact sequence, spacing, and repeat unit length is limited. FG repeat types and their physico-chemical environment change across the NPC from the nucleoplasmic to the cytoplasmic side: GLFG repeats are especially abundant in NUPs in the central region (lacking a charged environment but are enriched in Ser, Thr, Gln, and Asn)."			"REGION 1..261;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDL088C	Q05166									"MOD_RES 458;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 464;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""					"COILED 490..510;  /evidence=""ECO:0000255"""	"DOMAIN: Contains FG repeats. FG repeats are interaction sites for karyopherins (importins, exportins) and form probably an affinity gradient, guiding the transport proteins unidirectionally with their cargo through the NPC. FG repeat regions are highly flexible and lack ordered secondary structure. The overall conservation of FG repeats regarding exact sequence, spacing, and repeat unit length is limited. FG repeat types and their physico-chemical environment change across the NPC from the nucleoplasmic to the cytoplasmic side.; DOMAIN: The RRM Nup35-type domain might be involved in the control of mitosis."	"DOMAIN 265..394;  /note=""RRM Nup35-type"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00804"""		"REGION 23..64;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 88..144;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YAR002W	P39705									"MOD_RES 10;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358, ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 49;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 81;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 89;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 162;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 171;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 214;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 222;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 352;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 360;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 374;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 382;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 460;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 480;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 483;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358"""					"COILED 91..118;  /evidence=""ECO:0000255"""	"DOMAIN: Contains FG repeats. FG repeats are interaction sites for karyopherins (importins, exportins) and form probably an affinity gradient, guiding the transport proteins unidirectionally with their cargo through the NPC. FG repeat regions are highly flexible and lack ordered secondary structure. The overall conservation of FG repeats regarding exact sequence, spacing, and repeat unit length is limited. FG repeat types and their physico-chemical environment change across the NPC from the nucleoplasmic to the cytoplasmic side."			"REGION 44..80;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 242..267;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 305..329;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 347..493;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YPR194C	Q06593							"CARBOHYD 374;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 860;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""												
YDL055C	P41940					"CROSSLNK 244;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""				"MOD_RES 153;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956"""										
YPL140C	P32491			"NP_BIND 220..228;  /note=""ATP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""													"DOMAIN 214..481;  /note=""Protein kinase"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""		"REGION 1..69;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YAR033W	P39552									"MOD_RES 3;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956"""									"REGION 231..234;  /note=""COPI binding"""	
YAL034W-A	P39731														"COILED 105..147;  /evidence=""ECO:0000255"""					
YPR118W	Q06489				"SITE 181;  /note=""Transition state stabilizer"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03119"""					"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378""; MOD_RES 351;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""										
YBL095W	P38172													"TRANSIT 1..12;  /note=""Mitochondrion"";  /evidence=""ECO:0000255"""						
YOR206W	P39744									"MOD_RES 70;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956""; MOD_RES 149;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 160;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 166;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950""; MOD_RES 698;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 708;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198"""									"REGION 1..64;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 76..114;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 138..169;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 672..710;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YNL158W	P53896							"CARBOHYD 72;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 80;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""					"SIGNAL 1..23;  /evidence=""ECO:0000255"""							
YIL042C	P40530			"NP_BIND 267..274;  /note=""ATP"";  /evidence=""ECO:0000250|UniProtKB:Q15119""; NP_BIND 323..324;  /note=""ATP"";  /evidence=""ECO:0000250|UniProtKB:Q15119""; NP_BIND 347..352;  /note=""ATP"";  /evidence=""ECO:0000250|UniProtKB:Q15119"""						"MOD_RES 148;  /note=""Phosphohistidine; by autocatalysis"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00107"""				"TRANSIT 1..20;  /note=""Mitochondrion"";  /evidence=""ECO:0000255"""			"DOMAIN 126..386;  /note=""Histidine kinase"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00107"""			
YOR090C	Q12511		"METAL 197;  /note=""Manganese 1"";  /evidence=""ECO:0000250""; METAL 197;  /note=""Manganese 2"";  /evidence=""ECO:0000250""; METAL 198;  /note=""Manganese 1; via carbonyl oxygen"";  /evidence=""ECO:0000250""; METAL 424;  /note=""Manganese 2"";  /evidence=""ECO:0000250""; METAL 480;  /note=""Manganese 2"";  /evidence=""ECO:0000250"""											"TRANSIT 1..?;  /note=""Mitochondrion"";  /evidence=""ECO:0000255"""			"DOMAIN 153..543;  /note=""PPM-type phosphatase"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01082"""		"REGION 95..122;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 470..492;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YML030W	Q03713														"COILED 88..159;  /evidence=""ECO:0000255"""		"DOMAIN 5..96;  /note=""HIG1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00836"""			
YNR018W	P53721																"DOMAIN 89..180;  /note=""HIG1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00836"""			
YOL133W	Q08273		"METAL 55;  /note=""Zinc 1"";  /evidence=""ECO:0000250|UniProtKB:P62878""; METAL 58;  /note=""Zinc 1"";  /evidence=""ECO:0000250|UniProtKB:P62878""; METAL 66;  /note=""Zinc 2"";  /evidence=""ECO:0000250|UniProtKB:P62878""; METAL 69;  /note=""Zinc 2"";  /evidence=""ECO:0000250|UniProtKB:P62878""; METAL 81;  /note=""Zinc 2"";  /evidence=""ECO:0000250|UniProtKB:P62878""; METAL 88;  /note=""Zinc 3"";  /evidence=""ECO:0000250|UniProtKB:P62878""; METAL 90;  /note=""Zinc 3; via pros nitrogen"";  /evidence=""ECO:0000250|UniProtKB:P62878""; METAL 93;  /note=""Zinc 1; via pros nitrogen"";  /evidence=""ECO:0000250|UniProtKB:P62878""; METAL 95;  /note=""Zinc 2"";  /evidence=""ECO:0000250|UniProtKB:P62878""; METAL 107;  /note=""Zinc 3"";  /evidence=""ECO:0000250|UniProtKB:P62878""; METAL 110;  /note=""Zinc 3"";  /evidence=""ECO:0000250|UniProtKB:P62878"""							"MOD_RES 15;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""						DOMAIN: The RING-type zinc finger domain is essential for ubiquitin ligase activity.			"REGION 1..31;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	"ZN_FING 55..111;  /note=""RING-type"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00175"""
YMR034C	Q05131									"MOD_RES 425;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""										
YGL158W	P38622			"NP_BIND 127..135;  /note=""ATP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""													"DOMAIN 121..414;  /note=""Protein kinase"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""		"REGION 502..512;  /note=""Calmodulin-binding"";  /evidence=""ECO:0000255"""	
YLR248W	P38623			"NP_BIND 169..177;  /note=""ATP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""						"MOD_RES 46;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 50;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 187;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 350;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 520;  /note=""Phosphoserine"";  /evidence=""ECO:0000269|PubMed:10805732"""							"DOMAIN 163..478;  /note=""Protein kinase"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""		"REGION 1..55;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 99..127;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 493..506;  /note=""Calmodulin-binding"";  /evidence=""ECO:0000255""; REGION 541..564;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YOR370C	P32864									"MOD_RES 470;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:15665377, ECO:0007744|PubMed:17330950"""										
YOL010W	Q08096									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378"""										
YOR220W	Q12044									"MOD_RES 104;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 110;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 132;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 152;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 157;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 160;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 183;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:15665377, ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 187;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 193;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 201;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 255;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""									"REGION 127..213;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 242..265;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YNL022C	P53972																		"REGION 250..256;  /note=""S-adenosyl-L-methionine binding"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01023"""	
YKL159C	P36054									"MOD_RES 113;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 117;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 182;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198"""										
R0030W	Q06891																			
YMR075W	Q04779									"MOD_RES 1;  /note=""N-acetylmethionine"";  /evidence=""ECO:0007744|PubMed:22814378""; MOD_RES 68;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 683;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""									"REGION 1..48;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	"ZN_FING 260..309;  /note=""PHD-type 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00146""; ZN_FING 414..472;  /note=""PHD-type 2; atypical"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00146"""
YBR005W	P38212															"DOMAIN: Transmembrane domain is required, and the cytoplasmic region conserved between RCR1 and RCR2 is also essential, to endow resistance to Congo red.; DOMAIN: The PY motif is recognized directly by the WW domains of RSP5."		"MOTIF 104..107;  /note=""PY motif"""	"REGION 190..213;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR003W	Q03446									"MOD_RES 161;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 191;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956"""									"REGION 125..149;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 175..210;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL097W	P21827									"MOD_RES 135;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 136;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""								"MOTIF 15..26;  /note=""Nuclear localization signal"";  /evidence=""ECO:0000269|PubMed:11523802"""	"REGION 1..22;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 128..158;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YJL204C	P39531									"MOD_RES 409;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""							"DOMAIN 1..48;  /note=""F-box"""			
YMR274C	Q03530				"SITE 248;  /note=""Transition state stabilizer"";  /evidence=""ECO:0000250|UniProtKB:Q6LZY8""; SITE 252;  /note=""Transition state stabilizer"";  /evidence=""ECO:0000250|UniProtKB:Q6LZY8"""															
YJR033C	P47104									"MOD_RES 1244;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:15665377, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 1248;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""									"REGION 1243..1357;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR202C	Q03956																			
YOR301W	Q08760									"MOD_RES 167;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358"""							"DOMAIN 126..257;  /note=""RGS"""			
YLR084C	Q12465							"CARBOHYD 41;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 45;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 69;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 88;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 124;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 134;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 145;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 158;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 166;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 171;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 187;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 200;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 235;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 238;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 244;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 333;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 365;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 379;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 432;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 445;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 516;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 524;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 613;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 620;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 626;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 640;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 677;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 705;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 713;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 721;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 731;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 749;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 758;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 792;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 821;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 848;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 861;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 884;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 890;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 908;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 923;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 942;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 956;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 980;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 983;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1011;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1024;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1031;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1060;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1071;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1098;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1126;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""					"SIGNAL 1..20;  /evidence=""ECO:0000255"""						"REGION 1129..1151;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
